,Hub_name,Country,City,Town,Founded,Address,Postal Code,Operator,Group,Website,Phone,Twitter,Email,Type,Focus,Status,Cost (Local currency),Source,Opens,Closes
0,88mph,South Africa,Cape Town,Woodstock,2012.0,66 Albert Road,7925.0,,Private,,,,,Hub,,,,,,
1,Bandwidth Barn,South Africa,Cape Town,Khayelitsha,1999.0,"Lookout Hill, Mew Way",,The Cape Innovation and Technology Initiative,Government,http://www.citi.org.za,+2721 361 0145,,fezeka@citi.org.za,Hub,,,,,,
2,Bandwidth Barn,South Africa,Cape Town,Woodstock,,66 Albert Road,7925.0,,Government,,+2721 409 7000,,reception@bwb.org.za,Hub,,,,,,
3,Black Girls Code,South Africa,Johannesburg,Johannesburg,2012.0,"17 Melle St, South Point Central",2000.0,,Private,,,,,Hub,,,,,,
4,Cape Town Garage,South Africa,Cape Town,Woodstock,2012.0,"401a, Woodstock Exchange, Albert Rd",7915.0,,Private,,,,info@capetowngarage.com,Hub,,,,,,
5,Code4SA,South Africa,Cape Town,Claremont,,"Campground Rd
(entrance via Hemlock St.)
",,,Private,,,,,Hub,,,,,,
6,Codebridge,South Africa,Cape Town,Newlands,2012.0,1 Thicket Street,7725.0,,Private,,,,,Hub,,,,,,
7,Coded in Braam,South Africa,Johannesburg,Braamfontein,2012.0,"2nd Floor, South Point Central, 17 Melle Street",2000.0,,Private,,,,,Hub,,,,,,
8,Cartel House,South Africa,Cape Town,Cape Town,,"113 Loop Street, City Centre",,,Private,,+27 21 824 1782,,info@cartelhouse.com,Coworking,,,,,,
9,Cape Town Office,South Africa,Cape Town,Cape Town,,"62 Roeland Street, Gardens",,,Private,,+27 71 762 0960,,lizelle@capetownoffice.com,Coworking,,,,,,
10,Chips,South Africa,Cape Town,Cape Town,,"27 Caledon Street, 1st Floor",7925.0,,Private,,,,,Coworking,,,,,,
11,CoworKite,South Africa,Cape Town,Table View,,"39 Blauwberg Road, Time Business Park",,,Private,,,,info@coworkite.com,Coworking,,,,,,
12,Cube Workspace,South Africa,Cape Town,Cape Town,,"Corner of Dock & Portswood Roads, V&A Waterfront",,,Private,,27861112823,,info@cubeworkspace.co.za,Coworking,,,,,,
13,Cube Workspace,South Africa,Johannesburg,Fourways,,"9 The Straight Ave and Forest Road, Pineslopes",,,Private,,27861112823,,info@cubeworkspace.co.za,Coworking,,,,,,
14,Eastern Cape Information Technology Initiative,South Africa,East London,Siyakha,2004.0,Lower Chester Road,5208.0,,Government,,,,,Hub,,,,,,
15,Grindstone,South Africa,Cape Town,Century City,2013.0,"E5B, Century Square",7446.0,,Private,,,,,Coworking,,,,,,
16,Impact Amplifier,South Africa,Johannesburg,Illovo,2011.0,"Ground Floor, 33 Fricker Road",2196.0,,Private,,,,,Hub,,,,,,
17,Impact Hub,South Africa,Johannesburg,,2012.0,4 De Beer St,,,Private,,,,,Hub,,,,,,
18,Innovation by Design,South Africa,Johannesburg,Sandton,,"10 cheetah crescent, cheetah crescent, Rivonia",2191.0,,Private,,+2711 234 4034,,,Hub,,,,,,
19,Invo Tech incubator,South Africa,Durban,Durban,,"123 Botanic Gardens Road,
Musgrave",4001.0,,Private,https://www.invotech.org,+2731 201 4788,,invotech@dut.ac.za,Incubator,,,,,,
20,Jozihub,South Africa,Johannesburg,Milpark,2013.0,44 Stanley Ave,2092.0,,Private,,,,,Hub,,,,,,
21,Launchlab,South Africa,Johannesburg,Stellenbosch,,Hammanshand Road,7600.0,Innovus & Nedbank,Parnership: Private/Academia,,,,,Hub,,,,,,
22,mLab Southern Africa,South Africa,Pretoria,Tshwane,2012.0,"U8, Enterprise Building
The Innovation Hub
Mark Shuttleworth Street",87.0,,Private,https://www.mlab.co.za/,+27 12 844 0240,,research@mlab.co.za,Hub,,,,,,
23,mLab Southern Africa,South Africa,Cape Town,Cape Town,2012.0,"Workshop 17, Portswood Extension
V&A Waterfront
9 Dock Road",,,Private,https://www.mlab.co.za/,+27 12 844 0240,,,Hub,,,,,,
24,Rlabs,South Africa,Cape Town,Bridgetown,2008.0,66 Tarentaal Rd,7764.0,,Private,,,,,,,,,,,
